Latitude,Longitude,Source File,Stop Name,Line,Distance (m)
40.706092,-73.950308,MTA_Subway.csv,Broadway,Crosstown,0
40.700377,-73.950234,MTA_Subway.csv,Flushing Av,Crosstown,0
40.694568,-73.949046,MTA_Subway.csv,Myrtle-Willoughby Avs,Crosstown,0
40.689627,-73.953522,MTA_Subway.csv,Bedford-Nostrand Avs,Crosstown,0
40.688873,-73.96007,MTA_Subway.csv,Classon Av,Crosstown,0
40.688089,-73.966839,MTA_Subway.csv,Clinton-Washington Avs,Crosstown,0
40.687119,-73.975375,MTA_Subway.csv,Fulton St,Crosstown,0
40.889248,-73.898583,MTA_Subway.csv,Van Cortlandt Park-242 St,Broadway - 7Av,0
40.884667,-73.90087,MTA_Subway.csv,238 St,Broadway - 7Av,0
40.878856,-73.904834,MTA_Subway.csv,231 St,Broadway - 7Av,0
40.874561,-73.909831,MTA_Subway.csv,Marble Hill-225 St,Broadway - 7Av,0
40.869444,-73.915279,MTA_Subway.csv,215 St,Broadway - 7Av,0
40.864621,-73.918822,MTA_Subway.csv,207 St,Broadway - 7Av,0
40.860531,-73.925536,MTA_Subway.csv,Dyckman St,Broadway - 7Av,0
40.855225,-73.929412,MTA_Subway.csv,191 St,Broadway - 7Av,0
40.849505,-73.933596,MTA_Subway.csv,181 St,Broadway - 7Av,0
40.840556,-73.940133,MTA_Subway.csv,168 St-Washington Hts,Broadway - 7Av,0
40.834041,-73.94489,MTA_Subway.csv,157 St,Broadway - 7Av,0
40.826551,-73.95036,MTA_Subway.csv,145 St,Broadway - 7Av,0
40.822008,-73.953676,MTA_Subway.csv,137 St-City College,Broadway - 7Av,0
40.815581,-73.958372,MTA_Subway.csv,125 St,Broadway - 7Av,0
40.807722,-73.96411,MTA_Subway.csv,116 St-Columbia University,Broadway - 7Av,0
40.803967,-73.966847,MTA_Subway.csv,Cathedral Pkwy (110 St),Broadway - 7Av,0
40.799446,-73.968379,MTA_Subway.csv,103 St,Broadway - 7Av,0
40.793919,-73.972323,MTA_Subway.csv,96 St,Broadway - 7Av,0
40.788644,-73.976218,MTA_Subway.csv,86 St,Broadway - 7Av,0
40.783934,-73.979917,MTA_Subway.csv,79 St,Broadway - 7Av,0
40.778453,-73.98197,MTA_Subway.csv,72 St,Broadway - 7Av,0
40.77344,-73.982209,MTA_Subway.csv,66 St-Lincoln Center,Broadway - 7Av,0
40.768247,-73.981929,MTA_Subway.csv,59 St-Columbus Circle,Broadway - 7Av,0
40.761728,-73.983849,MTA_Subway.csv,50 St,Broadway - 7Av,0
40.75529,-73.987495,MTA_Subway.csv,Times Sq-42 St,Broadway - 7Av,0
40.750373,-73.991057,MTA_Subway.csv,34 St-Penn Station,Broadway - 7Av,0
40.747215,-73.993365,MTA_Subway.csv,28 St,Broadway - 7Av,0
